time,strategy,balance,equity
2025-01-06T00:00:00+00:00,Combined,2000,2000
2025-01-06T02:05:00+00:00,Combined,2000,1983
2025-01-06T02:15:00+00:00,Combined,2012,2012
2025-01-06T06:05:00+00:00,Combined,2012,1999
2025-01-06T06:55:00+00:00,Combined,2004,2004
2025-01-06T10:05:00+00:00,Combined,2004,1994
2025-01-06T11:35:00+00:00,Combined,2009,2009
2025-01-06T14:05:00+00:00,Combined,2009,1993
2025-01-06T14:15:00+00:00,Combined,1998,1998
2025-01-06T18:05:00+00:00,Combined,1998,1973
2025-01-06T18:55:00+00:00,Combined,2018,2018
2025-01-06T22:05:00+00:00,Combined,2018,2013
2025-01-06T23:35:00+00:00,Combined,2018,2018
2025-01-07T02:05:00+00:00,Combined,2018,2008
2025-01-07T02:15:00+00:00,Combined,2013,2013
2025-01-07T06:05:00+00:00,Combined,2013,1999
2025-01-07T06:55:00+00:00,Combined,2022,2022
2025-01-07T10:05:00+00:00,Combined,2022,2003
2025-01-07T11:35:00+00:00,Combined,2008,2008
2025-01-07T14:05:00+00:00,Combined,2008,1985
2025-01-07T14:15:00+00:00,Combined,2026,2026
2025-01-07T18:05:00+00:00,Combined,2026,2018
2025-01-07T18:55:00+00:00,Combined,2023,2023
2025-01-07T22:05:00+00:00,Combined,2023,2011
2025-01-07T23:35:00+00:00,Combined,2030,2030
