strategy,dimension,value,complete_trades,net_profit,win_rate,avg_loss,avg_win,breakeven_trades,expected_payoff,losses,max_consecutive_losses,profit_factor,profit_factor_status,realized_reward_risk,wins
Scalping,side,BUY,2,7.0,50.0,-5.0,12.0,0,3.5,1,1,2.4,finite,2.4,1
Scalping,side,SELL,2,7.0,50.0,-11.0,18.0,0,3.5,1,1,1.6363636363636365,finite,1.6363636363636365,1
Scalping,hour,14,2,7.0,50.0,-11.0,18.0,0,3.5,1,1,1.6363636363636365,finite,1.6363636363636365,1
Scalping,hour,2,2,7.0,50.0,-5.0,12.0,0,3.5,1,1,2.4,finite,2.4,1
Scalping,session,00–05时,2,7.0,50.0,-5.0,12.0,0,3.5,1,1,2.4,finite,2.4,1
Scalping,session,12–17时,2,7.0,50.0,-11.0,18.0,0,3.5,1,1,1.6363636363636365,finite,1.6363636363636365,1
Scalping,holding_bucket,15–60分钟,4,14.0,50.0,-8.0,15.0,0,3.5,2,2,1.875,finite,1.875,2
Scalping,market_regime,震荡代理,4,14.0,50.0,-8.0,15.0,0,3.5,2,2,1.875,finite,1.875,2
Intraday,side,BUY,2,17.0,50.0,-3.0,20.0,0,8.5,1,1,6.666666666666667,finite,6.666666666666667,1
Intraday,side,SELL,2,1.0,50.0,-8.0,9.0,0,0.5,1,1,1.125,finite,1.125,1
Intraday,hour,18,2,17.0,50.0,-3.0,20.0,0,8.5,1,1,6.666666666666667,finite,6.666666666666667,1
Intraday,hour,6,2,1.0,50.0,-8.0,9.0,0,0.5,1,1,1.125,finite,1.125,1
Intraday,session,06–11时,2,1.0,50.0,-8.0,9.0,0,0.5,1,1,1.125,finite,1.125,1
Intraday,session,18–23时,2,17.0,50.0,-3.0,20.0,0,8.5,1,1,6.666666666666667,finite,6.666666666666667,1
Intraday,holding_bucket,15–60分钟,4,18.0,50.0,-5.5,14.5,0,4.5,2,1,2.6363636363636362,finite,2.6363636363636362,2
Intraday,market_regime,震荡代理,4,18.0,50.0,-5.5,14.5,0,4.5,2,1,2.6363636363636362,finite,2.6363636363636362,2
Swing,side,BUY,2,-9.0,50.0,-14.0,5.0,0,-4.5,1,1,0.35714285714285715,finite,0.35714285714285715,1
Swing,side,SELL,2,7.0,50.0,,7.0,1,3.5,0,0,,no_losses_undefined,,1
Swing,hour,10,2,-9.0,50.0,-14.0,5.0,0,-4.5,1,1,0.35714285714285715,finite,0.35714285714285715,1
Swing,hour,22,2,7.0,50.0,,7.0,1,3.5,0,0,,no_losses_undefined,,1
Swing,session,06–11时,2,-9.0,50.0,-14.0,5.0,0,-4.5,1,1,0.35714285714285715,finite,0.35714285714285715,1
Swing,session,18–23时,2,7.0,50.0,,7.0,1,3.5,0,0,,no_losses_undefined,,1
Swing,holding_bucket,1–24小时,4,-2.0,50.0,-14.0,6.0,1,-0.5,1,1,0.8571428571428571,finite,0.42857142857142855,2
Swing,market_regime,震荡代理,4,-2.0,50.0,-14.0,6.0,1,-0.5,1,1,0.8571428571428571,finite,0.42857142857142855,2
Combined,side,BUY,6,15.0,50.0,-7.333333333333333,12.333333333333334,0,2.5,3,3,1.6818181818181819,finite,1.6818181818181819,3
Combined,side,SELL,6,15.0,50.0,-9.5,11.333333333333334,1,2.5,2,2,1.7894736842105263,finite,1.192982456140351,3
Combined,hour,10,2,-9.0,50.0,-14.0,5.0,0,-4.5,1,1,0.35714285714285715,finite,0.35714285714285715,1
Combined,hour,14,2,7.0,50.0,-11.0,18.0,0,3.5,1,1,1.6363636363636365,finite,1.6363636363636365,1
Combined,hour,18,2,17.0,50.0,-3.0,20.0,0,8.5,1,1,6.666666666666667,finite,6.666666666666667,1
Combined,hour,2,2,7.0,50.0,-5.0,12.0,0,3.5,1,1,2.4,finite,2.4,1
Combined,hour,22,2,7.0,50.0,,7.0,1,3.5,0,0,,no_losses_undefined,,1
Combined,hour,6,2,1.0,50.0,-8.0,9.0,0,0.5,1,1,1.125,finite,1.125,1
Combined,session,00–05时,2,7.0,50.0,-5.0,12.0,0,3.5,1,1,2.4,finite,2.4,1
Combined,session,06–11时,4,-8.0,50.0,-11.0,7.0,0,-2.0,2,1,0.6363636363636364,finite,0.6363636363636364,2
Combined,session,12–17时,2,7.0,50.0,-11.0,18.0,0,3.5,1,1,1.6363636363636365,finite,1.6363636363636365,1
Combined,session,18–23时,4,24.0,50.0,-3.0,13.5,1,6.0,1,1,9.0,finite,4.5,2
Combined,holding_bucket,15–60分钟,8,32.0,50.0,-6.75,14.75,0,4.0,4,2,2.185185185185185,finite,2.185185185185185,4
Combined,holding_bucket,1–24小时,4,-2.0,50.0,-14.0,6.0,1,-0.5,1,1,0.8571428571428571,finite,0.42857142857142855,2
Combined,market_regime,震荡代理,12,30.0,50.0,-8.2,11.833333333333334,1,2.5,5,1,1.7317073170731707,finite,1.4430894308943092,6
