Run,Strategy,CapitalUSD,NetProfitUSD,MaxEquityDDPct,ProfitFactor,Trades,WinRatePct,Reject,RecoveryEquity,NativeProfitFactor,NativeBalanceRecovery,DelayMs
C_C01_Combined_USD2000_D-1_20260907_001250,Combined,2000,150.64,3.21,2.808186292161805,25,76.0,0,2.176249638832707,2.78,2.176249638832714,-1
C_C01_Combined_USD2000_D0_20260906_234242,Combined,2000,151.34,3.14,2.8218370049355963,25,76.0,0,2.234460357301048,2.8,2.2344603573010486,0
C_C01_Combined_USD2000_D10_20260906_234958,Combined,2000,150.74,3.15,2.820751298465998,25,76.0,0,2.220683559222157,2.79,2.2206835592221688,10
C_C01_Combined_USD2000_D25_20260906_235729,Combined,2000,150.74,3.15,2.820751298465998,25,76.0,0,2.220683559222157,2.79,2.2206835592221688,25
C_C01_Combined_USD2000_D50_20260907_000528,Combined,2000,150.74,3.15,2.820751298465998,25,76.0,0,2.220683559222157,2.79,2.2206835592221688,50
CAPACITY_500_Combined_USD500_D0_20260907_002441,Combined,500,0.0,0.0,,0,,0,,,0.0,0
CAPACITY_500_Intraday_USD500_D0_20260907_001845,Intraday,500,0.0,0.0,,0,,0,,,0.0,0
CAPACITY_500_Scalping_USD500_D0_20260907_001634,Scalping,500,0.0,0.0,,0,,0,,,0.0,0
CAPACITY_500_Swing_USD500_D0_20260907_002228,Swing,500,0.0,0.0,,0,,0,,,0.0,0
CONTROL_CAPACITY_Intraday_USD5000_D0_20260907_002830,Intraday,5000,114.8,0.62,,4,100.0,0,3.6936936936936937,206.0,3.6936936936937017,0
CONTROL_Combined_USD2000_D0_20260906_225916,Combined,2000,158.5,3.14,2.908259089814592,25,80.0,0,2.3401742211723016,2.88,2.340174221172302,0
CONTROL_FINAL_Combined_USD2000_D-1_20260907_000915,Combined,2000,156.92,3.18,2.8869648869648867,25,80.0,0,2.29281122150789,2.86,2.2928112215078897,-1
CONTROL_FINAL_Combined_USD2000_D0_20260906_233109,Combined,2000,158.5,3.14,2.908259089814592,25,80.0,0,2.3401742211723016,2.88,2.340174221172302,0
CONTROL_FINAL_Combined_USD2000_D10_20260906_234623,Combined,2000,157.9,3.15,2.9074655713940563,25,80.0,0,2.3261638185032414,2.88,2.3261638185032534,10
CONTROL_FINAL_Combined_USD2000_D25_20260906_235351,Combined,2000,157.9,3.15,2.9074655713940563,25,80.0,0,2.3261638185032414,2.88,2.3261638185032534,25
CONTROL_FINAL_Combined_USD2000_D50_20260907_000135,Combined,2000,157.9,3.15,2.9074655713940563,25,80.0,0,2.3261638185032414,2.88,2.3261638185032534,50
CONTROL_FINAL_Intraday_USD2000_D0_20260906_232528,Intraday,2000,28.66,0.39,,4,100.0,0,3.688545688545689,180.13,3.6885456885456973,0
CONTROL_FINAL_Scalping_USD2000_D0_20260906_232317,Scalping,2000,129.18,1.57,2.555261256922706,20,75.0,0,4.052070263488081,2.54,4.052070263488097,0
CONTROL_FINAL_Swing_USD2000_D0_20260906_232858,Swing,2000,0.66,2.32,,1,100.0,0,0.01385972280554389,17.5,0.013859722805543854,0
CONTROL_Intraday_USD2000_D0_20260906_225323,Intraday,2000,28.66,0.39,,4,100.0,0,3.688545688545689,180.13,3.6885456885456973,0
CONTROL_Scalping_USD2000_D0_20260906_225107,Scalping,2000,129.18,1.57,2.555261256922706,20,75.0,0,4.052070263488081,2.54,4.052070263488097,0
CONTROL_Swing_USD2000_D0_20260906_225700,Swing,2000,0.66,2.32,,1,100.0,0,0.01385972280554389,17.5,0.013859722805543854,0
I_C01_Intraday_USD2000_D0_20260906_224404,Intraday,2000,28.66,0.39,,4,100.0,0,3.688545688545689,180.13,3.69,0
I_C02_CAPACITY_Intraday_USD5000_D0_20260907_003206,Intraday,5000,100.48,0.62,,4,100.0,0,3.2329472329472333,180.43,3.2329472329472404,0
I_C02_FIX1_Intraday_USD2000_D0_20260906_231501,Intraday,2000,7.66,0.01,,1,100.0,0,40.31578947368421,192.5,40.31578947367263,0
I_C02_FIX2_Intraday_USD2000_D0_20260906_233447,Intraday,2000,21.5,0.39,2151.000000000001,4,75.0,0,2.767052767052767,135.38,2.7670527670527734,0
I_C02_FIX2_RESTART_Intraday_USD2000_D0_20260906_233839,Intraday,2000,21.5,0.39,2151.000000000001,4,75.0,0,2.767052767052767,135.38,2.7670527670527734,0
I_C02_Intraday_USD2000_D0_20260906_230430,Intraday,2000,7.66,0.01,,1,100.0,0,40.31578947368421,192.5,40.31578947367263,0
I_C02_NEIGHBOR_18_Intraday_USD2000_D0_20260907_003545,Intraday,2000,21.5,0.39,2151.000000000001,4,75.0,0,2.767052767052767,135.38,2.7670527670527734,0
I_C02_NEIGHBOR_22_Intraday_USD2000_D0_20260907_003934,Intraday,2000,21.5,0.39,2151.000000000001,4,75.0,0,2.767052767052767,135.38,2.7670527670527734,0
I_C02_RESTART_Intraday_USD2000_D0_20260906_231019,Intraday,2000,7.66,0.01,,1,100.0,0,40.31578947368421,192.5,40.31578947367263,0
R_C01_Combined_USD2000_D0_20260906_223717,Combined,2000,158.5,3.14,2.908259089814592,25,80.0,0,2.3401742211723016,2.88,2.34,0
R_C01_Intraday_USD2000_D0_20260906_223054,Intraday,2000,28.66,0.39,,4,100.0,0,3.688545688545689,180.13,3.69,0
R_C01_Scalping_USD2000_D0_20260906_215019,Scalping,2000,129.18,1.57,2.5552612569227064,20,75.0,0,4.052070263488081,2.54,4.05,0
R_C01_Swing_USD2000_D0_20260906_223506,Swing,2000,0.66,2.32,,1,100.0,0,0.01385972280554389,17.5,0.01,0
S_C02_Scalping_USD2000_D0_20260906_224145,Scalping,2000,-54.56,7.76,0.9173283229286623,83,51.80722891566265,0,-0.34597336715282184,0.92,-0.35,0
W_C01_Swing_USD2000_D0_20260906_230808,Swing,2000,0.66,2.32,,1,100.0,0,0.01385972280554389,17.5,0.013859722805543854,0
