Strategy,CapitalUSD,NetProfitUSD,MaxEquityDDPct,ProfitFactor,Trades,WinRatePct,Reject,RecoveryEquity,MaximumActualSLRiskPct,MaximumPlannedRiskPct,Period,HistoryQuality,DelayMs,Verdict,Run
Combined,500,0.0,0.0,,0,,0,,,,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Combined_USD500_D0_20260906_203200
Intraday,500,0.0,0.0,,0,,0,,,,M30 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Intraday_USD500_D0_20260906_191123
Intraday,500,0.0,0.0,,0,,0,,,,M30 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Intraday_USD500_D0_20260906_202550
Scalping,10000,746.26,1.83,2.48,20,75.0,0,4.0125819980643085,0.9553,0.9993,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Scalping_USD10000_D0_20260906_205106
Scalping,1000,64.39,1.57,2.53,20,75.0,0,4.036990595611286,0.8015,0.8384,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Scalping_USD1000_D0_20260906_203616
Scalping,100,0.0,0.0,,0,,0,,,,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Scalping_USD100_D0_20260906_203828
Scalping,2000,129.18,1.57,2.54,20,75.0,0,4.052070263488081,0.8015,0.8384,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Scalping_USD2000_D0_20260906_204643
Scalping,200,0.0,0.0,,0,,0,,,,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Scalping_USD200_D0_20260906_204024
Scalping,300,0.0,0.0,,0,,0,,,,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Scalping_USD300_D0_20260906_204226
Scalping,5000,351.57,1.78,2.39,20,75.0,0,3.8916316139030327,0.9549,0.9988,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Scalping_USD5000_D0_20260906_204856
Scalping,500,0.0,0.0,,0,,0,,,,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Scalping_USD500_D0_20260906_190610
Scalping,500,0.0,0.0,,0,,0,,,,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Scalping_USD500_D0_20260906_201950
Scalping,750,0.0,0.0,,0,,0,,,,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Scalping_USD750_D0_20260906_204433
Swing,500,0.0,0.0,,0,,0,,,,M30 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,R_C00_Swing_USD500_D0_20260906_202942
Scalping,1000,64.39,1.57,2.53,20,75.0,0,4.036990595611286,0.8015,0.8384,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,S_C01_Scalping_USD1000_D0_20260906_210112
Scalping,500,0.0,0.0,,0,,0,,,,M5 (2026.01.05 - 2026.08.26),100%真实报价,0,RESEARCH_FURTHER_NO_PROMOTION,S_C01_Scalping_USD500_D0_20260906_205854
